Number,First Name,Last Name,Email Address,Department,Division,Completed On,Respondent IP,Employee Commitment and Satisfaction:ECS_Q1,Employee Commitment and Satisfaction:ECS_Q2,Employee Commitment and Satisfaction:ECS_Q3,Employee Commitment and Satisfaction:ECS_Q4,Employee Commitment and Satisfaction:ECS_Q5,Employee Commitment and Satisfaction:ECS_Q6,Workplace Environment and Culture:WEC_Q1,Workplace Environment and Culture:WEC_Q2,Workplace Environment and Culture:WEC_Q3,Workplace Environment and Culture:WEC_Q4,Workplace Environment and Culture:WEC_Q5,Compensation & Benefits:CB_Q1,Compensation & Benefits:CB_Q2,Compensation & Benefits:CB_Q3,Compensation & Benefits:CB_Q4,Performance Management:PM_Q1,Performance Management:PM_Q2,Performance Management:PM_Q3,Performance Management:PM_Q4,Performance Management:PM_Q5,Performance Management:PM_Q6,Performance Management:PM_Q7,Career Development and Training:CDT_Q1,Career Development and Training:CDT_Q2,Career Development and Training:CDT_Q3,Career Development and Training:CDT_Q4,Career Development and Training:CDT_Q5,Career Development and Training:CDT_Q6,Communications:COMM_Q1,Communications:COMM_Q2,Communications:COMM_Q3,Communications:COMM_Q4,Team Effectiveness:TE_Q1,Team Effectiveness:TE_Q2,Team Effectiveness:TE_Q3,Team Effectiveness:TE_Q4,Team Effectiveness:TE_Q5,Job Stress:JS_Q1,Job Stress:JS_Q2,Job Stress:JS_Q3,Company Image:CI_Q1,Company Image:CI_Q2,Company Image:CI_Q3,Company Image:CI_Q4,Strategy:STRAT_Q1,Strategy:STRAT_Q2,Strategy:STRAT_Q3,"On a scale of zero to ten, how likely is it that you would recommend Company to friends as a great place to work?",What 2-3 things do you value most about working at Company?,What 2-3 things should Company begin to do?,What 2-3 things should Company stop doing?,Please provide suggestions for ongoing improvement to the performance feedback process.
10000112,FNAME113,LNAME113,,Field Operations,Southwest Region,2/20/2017 10:12,100.000.000.112,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,8,,"I enjoy my job and co-workers 
I trust the company is working hard to be the best
I wish Company would do more for our reporters. I don't think the reporter program is special.",,Change up the performance evaluation so most questions aren't basically looking for the same information over and over again.
10000113,FNAME114,LNAME114,,Order Management,Shared Services,2/20/2017 10:05,100.000.000.113,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Strongly Agree,6,,treat employees as people and not a number or body in a seat,,
10000114,FNAME115,LNAME115,,Inside Sales,Marketing/Sales,2/20/2017 10:26,100.000.000.114,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,6,"Performance Review Process
Ability to move up within company","Formalize communication- too many emails that are sent and expectations are everything on email is immediately known and carried out
Training- while there has been a lot of improvements in this area, new employees who lack industry experience have had serious negative effects on client relationships especially in client facing Operations Role- see Atlanta. 
401k Matching/Improved Benefits - As we pitch the corporate image to our clients, both internally and externally, we should be supported by the benefit packages of the company's we are modeling our image after to increase employee satisfaction and talent recruitment efforts.","Culture- probably the wrong place for this, but overall I believe there can be improvements nationally on internal Culture. As of today, it is my opinion that the majority of teams or at least team leaders are more afraid to fail than motivated to win. Negativity snowballs and while there is no excuse for 2016's results, I believe a lot of the negative messaging hurt employee morale and negatively affected Company's Culture. While there will always be negative Nancys and downer Dougs where ever you work, I believe the % currently at Company is higher than most of my former companies.","I am a big fan of the performance feedback process, my only suggestion would be surprise bonuses or gifts for people hitting their metrics or finishing courses in Talentquest at the top of their group. This will help with intrinsic motivation."
10000115,FNAME116,LNAME116,,Onboarding/Case Management,Shared Services,2/20/2017 10:53,100.000.000.115,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,7,"The appreciation that is expressed for my hard work
My co-workers, everyone working towards a common goal to create clients for life","When any department is considering making a change (i.e. NetSuite team) they should get the input of ALL departments.
Hold people accountable for their performance and coach employees when necessary.
Contributing to employees 401k.","Allowing employees to become complacent and stop rewarding negative behavior
Stop having each office run differently.  No matter what an office a client comes to, they should have the same experience.",
10000116,FNAME117,LNAME117,,Collections,Shared Services,2/20/2017 10:36,100.000.000.116,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,7,"1.) Terry is a people person and knows what is going on with the company and its departments.

2.) The employees that I work close with in the COE.","1.) Train effectively
2.) Have employees for life, not just clients.","1.) Charging fees that clients continuously will not pay for, such as ancillaries.",N/A
10000117,FNAME118,LNAME118,,Field Sales,Southeast Region,2/20/2017 11:37,100.000.000.117,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,9,"~ The ability to work autonomously and feel a sense of ownership in the business.

~ The continued focus as a company to stay at the forefront of technology as it relates to our industry and the continual training and ability to grow in my position.","~ Matching or contributing to the 401k program would be greatly appreciated and I think would improve how employees look at how the company thinks of them.

~ Allowing some (not all) of our vacation time to roll over or to be compensated would also be beneficial. As someone who generally does not take a lot of time off, I feel like I am penalized for this.","I think that it would be beneficial to have a simpler to read invoice for clients. I get a lot of feedback from clients saying that the invoices are confusing and they get upset by all the ancillary add-ons. 

It would be nice if the company would stop taking vacation days away if they are not used by the end of the year.","I think the process works pretty well, so I am not sure that I can suggest any improvements."
10000118,FNAME119,LNAME119,,Field Operations,Central Region,2/20/2017 10:46,100.000.000.118,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,6,,,,
10000119,FNAME120,LNAME120,,Field Sales,Southeast Region,2/20/2017 11:02,100.000.000.119,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,8,"the ability to run my own business plan 
run my book like a franchise
work with others strategize on sales opportunities","recruiting more local Atlanta court reporters with technology skills
offering a bonus or incentive  for training a new hire",,
10000120,FNAME121,LNAME121,,Inside Sales,Marketing/Sales,2/20/2017 11:10,100.000.000.120,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,8,,,,
10000121,FNAME122,LNAME122,,Center of Excellence,Shared Services,2/20/2017 12:25,100.000.000.121,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,7,"security, friendly atmosphere, fun co-workers","provide sample Original and copy transcripts, exactly the way the client receives them. Its hard to discuss what the client receives when we have really never seen one. Being able to look at a certified sealed Original, would help when discussing it with the clients.",n/a,"in emails to clients in bold letters explain that claim information, adjuster info, and notices is always needed when scheduling"
10000122,FNAME123,LNAME123,,Production,Operations,2/20/2017 11:24,100.000.000.122,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,8,"My work ethic
My The customers","Give more raises
Aknowledge there workers",n/A,
10000123,FNAME124,LNAME124,,Collections,Shared Services,2/20/2017 11:37,100.000.000.123,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,5,"1-The empowerment given to do my job effectively.
2-Lack of mico-management-I work well on my own, supervsion is not required
3-Compensation","1-Engage more with the employees who are doing the job.  Management doesn't always understand  challenges if you're not hands on.
2-Encouraging employees more on honestly/open door policy without fear of losing job",I don't have anything to add here.  I believe in the Company Vision and I think we are doing the things to get there.,
10000124,FNAME125,LNAME125,,Center of Excellence,Shared Services,2/20/2017 11:49,100.000.000.124,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,8,"The Positive environment
Engaging employees and employers
Team work",More time outside the workplace engaging with co-workers or involving with an organization for a great cause.,"The company is not perfect nor none of us are, but I cannot think of anything that the company to stop doing.",With the new implementations that has been added by the management team. I believe that the company has improved dramatically and will improve the company productivity.
10000125,FNAME126,LNAME126,,Field Sales,Southeast Region,2/20/2017 12:10,100.000.000.125,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,9,"When we have a big month I find the feeling of winning very fulfilling. 

I enjoy competing against other vendors and internally (in a friendly manner, of course)","Selfishly, matching 401k would be huge.

Better communication to sales from other departments regarding issues concerning our clients that come to their attention.",,"Simply continue to grow and learn through the ups and downs. Foster a group, team approach with a feeling of security and accountability regardless of the department. There are a lot of cogs in the wheels that we collectively push and all are vital to our success in every single job/setting."
10000126,FNAME127,LNAME127,,Field Operations,Southwest Region,2/20/2017 12:02,100.000.000.126,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,10,"Positive work environment, good people",,,
10000127,FNAME128,LNAME128,,Field Operations,Central Region,2/20/2017 12:34,100.000.000.127,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,9,"1) I value my experience working with Company and the executive leadership team.  I feel as if I have had a year long intensive internship.  

2)  The people at Company are among the most down to earth people I have worked with in my career.  I have enjoyed working with many and also building a strong team to help carry Company forward in the future.  

3)  I value Terrie Campbell and her leadership influence on the organization.","1)  Company needs a true sales leader that is strong enough to lead and understand the industry to drive organizational change.    
2)  Not be afraid to make changes at the higher levels when warranted.  
3)   Foster a sales drive culture
4)  Foster a 'no excuse', client first, 'no mistake' operational culture.","1)  Too many scheduled phone calls taking team away from doing their jobs.  This needs to be better managed by organizational leaders.

2)  Alter the culture of 'dumping on' the level below and instead owning the request, such as the Marketing team putting together a list of marketing events that they supported in a specific region and sending that off instead of asking the RVPs to do it for them.  This type of push down task management occurs throughout Company.",Company does a good job of this through Talentquest and the review process.
10000128,FNAME129,LNAME129,,Field Operations,Southwest Region,2/20/2017 12:12,100.000.000.128,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,5,,"1. Need to compensate employees on how they have been performing in their position and not by just the cost of living increase (if that is an option). 

2. If an employee is given more responsibility than they should be compensated for that.",,
10000129,FNAME130,LNAME130,,Field Operations,Southeast Region,2/20/2017 12:45,100.000.000.129,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,"1. Being able to speak openly with my manager, supervisors, and team leads about any of my concerns and questions.

2. I value the fact that I am able to work in a friendly and respectful environment every day.","1. I think that when something new is implemented such as confluence, there should be training on how to use the site and what you the site is for. An email is okay but there are some visual people who need to be shown how to navigate the site. I think a how to video would be helpful.",,
10000130,FNAME131,LNAME131,,Field Sales,Southwest Region,2/20/2017 14:16,100.000.000.130,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,8,"support from colleagues/management

learning from others on the team",work on stronger compensation (base),n/a,
10000131,FNAME132,LNAME132,,Field Operations,Southwest Region,2/20/2017 13:04,100.000.000.131,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,Working with service partners and co-workers. Manager is great.,Better pay and better benefits.,All is good. No changes needed.,I think performance feedback is fair the way it is.
10000132,FNAME133,LNAME133,,Field Operations,Northwest Region,2/20/2017 14:55,100.000.000.132,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,I value working with clients and furthering/strenghthening  the trust they place in us to enable them to provide excellent legal service to their clients.,Annual flu shots for employees if possible.,,
10000133,FNAME134,LNAME134,,Field Operations,Southwest Region,2/20/2017 13:36,100.000.000.133,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,9,Work environment and Teamwork,Reevaluate adding an extra holiday to compensation (President's day) recognize local office achievements more often than quarterly,,
10000134,FNAME135,LNAME135,,Field Sales,Northwest Region,2/20/2017 13:39,100.000.000.134,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,9,"I get paid t work in an industry that i love.
The freedom to do my job in a manner that is comfortable to me","Upgrade office. 
Do something different to stand out in the industry.(client lounge, massage chair, etc)",Letting inside sales call into a territory that has reps.,
10000135,FNAME136,LNAME136,,Field Operations,Northwest Region,2/20/2017 14:18,100.000.000.135,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,"Great teamwork
friendly environment
respectable pay",office upgrade such as conference room chairs and carpet.,I feel i am  too new to have any complaints.,communication
10000136,FNAME137,LNAME137,,Production,Operations,2/20/2017 14:11,100.000.000.136,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,5,,,,
10000137,FNAME138,LNAME138,,Production,Operations,2/20/2017 14:27,100.000.000.137,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10,"1. Great changes and growth.
2. Everyday is a new challenge and an opportunity to learn.",All changes that Company is currently implemented are excellent.,All is well.,N/A
10000138,FNAME139,LNAME139,,Field Operations,Southeast Region,2/20/2017 14:59,100.000.000.138,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,8,"having  a great Op manager that cares about his employee  and listens 
How the company  continue to move forward to gain our trust, loyalty with our clients
the educational training that is provided to help us to getting it right.","continue to drive the cost down for health insurance
comparing our job description   with other regarding our pay",N/a,
10000139,FNAME140,LNAME140,,Order Management,Shared Services,2/20/2017 14:56,100.000.000.139,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,8,"Learning more about and how the industry works/does business. 

Pleasant work environment.","Match 401k contributions. 

Discount parking.",Requiring all employees who could telecommute to be present in the office on a daily basis.,
